name,description,Type,Owner,Total Number of stalls,Total of Cooked Food Stalls,Total Occupied Cooked Food Stalls,Postcode,Lat/Lang
Blk 112 Jalan Bukit Merah Market & Food Centre,"Blk 112, Jalan Bukit Merah, S(160112)",MHC,HDB,124,28,27,160112,Thinking...
ABC Brickworks Market/Food Centre,"Blk 6, Jalan Bukit Merah, S(150006)",MHC,HDB,144,96,95,150006,Thinking...
Yuhua Market & Hawker Centre,"Blk 347, Jurong East Ave 1, S(600347)",MHC,HDB,225,56,56,600347,Thinking...
Yuhua Village Market & Food Centre,"Blk 254, Jurong East Street 24, S(600254)",MHC,HDB,147,60,60,600254,Thinking...
Blk 505 Jurong West Street 52,"Blk 505, Jurong West Street 52, S(640505)",MHC,HDB,190,60,60,640505,Thinking...
84 Marine Parade Central ( Market & Food Centre ),"Blk 84, Marine Parade Central, S(440084)",MHC,HDB,198,55,55,440084,Thinking...
50A Marine Terrace,"Blk 50A, Marine Terrace, S(441050)",MHC,HDB,111,24,24,441050,Thinking...
Blk 20/21 Marsiling Lane,"Blk 20/21, Marsiling Lane, S(730020/730021)",MHC,HDB,164,52,52,730020/730021,Thinking...
Mei Chin Road Market,"Blk 159, Mei Chin Road, S(140159)",MHC,HDB,113,47,45,140159,Thinking...
People's Park Food Centre,"Blk 32, New Market Road, S(050032)",HC,HDB,87,87,87,050032,Thinking...
Blk 207 New Upper Changi Road,"Blk 207, New Upper Changi Road, S(460207)",HC,HDB,70,70,70,460207,Thinking...
Blk 58 New Upper Changi Road,"Blk 58, New Upper Changi Road, S(461058)",MHC,HDB,195,48,48,461058,Thinking...
51 Old Airport Road Food Centre & Shopping Mall,"Blk 51, Old Airport Road, S(390051)",MHC,HDB,222,168,167,390051,Thinking...
Albert Centre Market & Food Centre,"Blk 270, Queen Street, S(180270)",MHC,HDB,234,86,86,180270,Thinking...
Redhill Market,"Blk 79, Redhill Lane, S(150079)",MK,HDB,122,0,0,150079,Thinking...
Redhill Food Centre,"Blk 85, Redhill Lane, S(150085)",HC,HDB,96,96,96,150085,Thinking...
Shunfu Mart,"Blk 320, Shunfu Road, S(570320)",MHC,HDB,82,31,30,570320,Thinking...
Sims Vista Market & Food Centre,"Blk 49, Sims Place, S(380049)",MHC,HDB,144,66,66,380049,Thinking...
Chinatown Complex Market,"Blk 335, Smith Street, S(050335)",MHC,HDB,703,226,219,050335,Thinking...
Tampines Round Market & Food Centre,"Blk 137, Tampines Street 11, S(521137)",MHC,HDB,144,45,45,521137,Thinking...
Teban Gardens Market & Food Centre,"Blk 37A, Teban Garden Road, S(601037)",MHC,HDB,80,28,28,601037,Thinking...
11 Telok Blangah Crescent Market & Food Centre,"Blk 11, Telok Blangah Crescent, S(090011)",MHC,HDB,133,56,56,090011,Thinking...
Telok Blangah Rise Market,"Blk 36, Telok Blangah Rise, S(090036)",MHC,HDB,53,24,24,090036,Thinking...
Telok Blangah Food Centre,"Blk 79, Telok Blangah Drive, S(100079)",HC,HDB,40,40,40,100079,Thinking...
Telok Blangah Market ,"Blk 82, Telok Blangah Drive, S(100082)",MK,HDB,64,0,0,100082,Thinking...
Blk 6 Tanjong Pagar Plaza Market & Food Centre,"Blk 6, Tanjong Pagar Plaza, S(081006)",MHC,HDB,160,52,51,081006,Thinking...
Toa Payoh Vista Market ,"Blk 74, Lorong 4 Toa Payoh, S(310074) ",MHC,HDB,90,10,10,310074,Thinking...
Blk 210 Toa Payoh Lorong 8 ,"Blk 210, Lorong 8 Toa Payoh, S(310210)",MHC,HDB,157,80,80,310210,Thinking...
Toa Payoh West Market & Food Court,"Blk 127, Lorong 1 Toa Payoh, S(310127)",MHC,HDB,148,40,40,310127,Thinking...
Blk 93 Toa Payoh Lorong 4,"Blk 93, Lorong 4 Toa Payoh, S(310093)",MHC,HDB,60,28,28,310093,Thinking...
Blk 75 Toa Payoh Lorong 5,"Blk 75, Lorong 5 Toa Payoh, S(310075) ",HC,HDB,HUP,HUP,HUP,310075,Thinking...
Kim Keat Palm Market & Food Centre,"Blk 22, Lorong 7 Toa Payoh, S(310022)",MHC,HDB,120,61,61,310022,Thinking...
Blk 17 Upper Boon Keng Market & Food Centre,"Blk 17, Upper Boon Keng Road, S(380017)",MHC,HDB,144,84,81,380017,Thinking...
Hong Lim Food Centre & Market,"Blk 531A, Upper Cross Street, S(051531)",MHC,HDB,143,103,101,051531,Thinking...
Ayer Rajah Market,"Blk 502, West Coast Drive, S(120502)",MK,HDB,40,0,0,120502,Thinking...
Ayer Rajah Food Centre,"Blk 503, West Coast Drive, S(120503)",HC,HDB,80,80,80,120503,Thinking...
Whampoa Drive Makan Place; Whampoa Food Centre,"Blk 90, Whampoa Drive, S(320090)",MHC,HDB,92,80,80,320090,Thinking...
Whampoa Drive Makan Place; Whampoa Market,"Blk 91/92, Whampoa Drive, S(320091/320092)",MHC,HDB,164,52,52,320091/320092,Thinking...
Blk 4A Woodlands Centre Road,"Blk 4A, Woodlands Centre Road, S(731004)",HC,HDB,78,78,74,731004,Thinking...
Chong Pang Market & Food Centre,"Blk 104/105, Yishun Ring Road, S(760104/760105)",MHC,HDB,179,56,56,760104/760105,Thinking...
